Sample	percent	start	end	amp_del
TCGA-13-1405-01	1	9.20222364975132e-09	1	amp
TCGA-13-1407-01	0	0.557851651449916	0.32804418046455	amp
TCGA-13-1408-01	0	0.856607325851576	0.157797025210053	amp
TCGA-13-1409-01	0	0.964226033593067	0.354923019856549	amp
TCGA-13-1410-01	0	0.975459372012469	0.118564679121637	amp
TCGA-13-1411-01	1	9.20222364975132e-09	1	amp
TCGA-13-1412-01	0	0.199928430626005	0.133266722117426	amp
TCGA-13-1481-01	0	0.57884038675952	0.0939193482337395	amp
TCGA-13-1482-01	0	0.121284497537471	0.121078827839528	amp
TCGA-13-1483-01	0	0.552851816491796	0.17008276673172	amp
TCGA-13-1484-01	0	0.666491925642315	0.170487204459891	amp
TCGA-13-1485-01	1.31591797789381e-06	0.0442412268323553	0.0442425335481096	amp
TCGA-13-1487-01	0	0.143772514332854	0.0414928539166233	amp
TCGA-13-1488-01	0	0.405449613882519	0.00295003964640017	amp
TCGA-13-1489-01	0	0.975459372012469	0.165517902479748	amp
TCGA-13-1489-02	0	0.336322657272374	0.121078827839528	amp
TCGA-13-1491-01	0	0.976061685155176	0.0680025645124878	amp
TCGA-13-1492-01	0	0.741785319907988	0.333180705252345	amp
TCGA-13-1494-01	0	0.844552394502787	0.0400942999706072	amp
TCGA-13-1495-01	0	0.969218948479023	0.0842872887467379	amp
TCGA-13-1496-01	0	0.327237347901852	0.21069211515843	amp
TCGA-13-1497-01	0	0.778172154408122	0.00327254077544392	amp
TCGA-13-1498-01	0	0.783617745078474	0.183148930434291	amp
TCGA-13-1499-01	0	0.854753961205284	0.136205176164286	amp
TCGA-13-1501-01	0	0.759579291636199	0.055758186986	amp
TCGA-13-1504-01	0	0.772223036465642	0.171738982939142	amp
TCGA-13-1505-01	0	0.918686244176568	0.918654965818478	amp
TCGA-13-1506-01	0	0.946793074299757	0.0678000143683519	amp
TCGA-13-1507-01	0	0.715944068038223	0.0187403560121306	amp
TCGA-13-1509-01	0	0.671953316530625	0.415336335706025	amp
TCGA-13-1510-01	0	0.907607852798507	0.271871829000011	amp
TCGA-13-1511-01	0	0.817455103524234	0.136876413961919	amp
TCGA-13-1512-01	0	0.353750702578271	0.206012885671289	amp
TCGA-13-1817-01	0	0.340847326211567	0.340832989147164	amp
TCGA-13-1817-02	0.910452407355532	9.20222364975132e-09	0.910452407355532	amp
