Sample	Percent	Start	End	amp_del
P-0044065-T01-IM6	0	0	0	amp
P-0044146-T01-IM6	0	0	0	amp
P-0044402-T01-IM6	0	0	0	amp
P-0044451-T01-IM6	0	0	0	amp
P-0044770-T01-IM6	0	0	0	amp
P-0044784-T01-IM6	0	0	0	amp
P-0044817-T01-IM6	0	0	0	amp
P-0044919-T01-IM6	0	0	0	amp
P-0045161-T01-IM6	0	0	0	amp
P-0045432-T01-IM6	0	0	0	amp
P-0045469-T01-IM6	0	0	0	amp
P-0045545-T01-IM6	0	0	0	amp
P-0045944-T01-IM6	0	0	0	amp
P-0045947-T01-IM6	0	0	0	amp
P-0045993-T01-IM6	0	0	0	amp
P-0046489-T01-IM6	0	0	0	amp
P-0046543-T01-IM6	0	0	0	amp
P-0046676-T01-IM6	0	0	0	amp
P-0046745-T01-IM6	0	0	0	amp
P-0047075-T01-IM6	0	0	0	amp
P-0047149-T01-IM6	0	0	0	amp
P-0047259-T01-IM6	0	0	0	amp
P-0047352-T01-IM6	0	0	0	amp
P-0047362-T01-IM6	0	0	0	amp
P-0047622-T01-IM6	0	0	0	amp
P-0047695-T01-IM6	0	0	0	amp
P-0047853-T01-IM6	0	0	0	amp
P-0047883-T01-IM6	0	0	0	amp
P-0048214-T01-IM6	0	0	0	amp
P-0048254-T01-IM6	0	0	0	amp
P-0048455-T01-IM6	0	0	0	amp
P-0048525-T01-IM6	0	0	0	amp
P-0048556-T01-IM6	0	0	0	amp
P-0048670-T01-IM6	0	0	0	amp
P-0048851-T01-IM6	0	0	0	amp
P-0049040-T01-IM6	0	0	0	amp
P-0049292-T01-IM6	0	0	0	amp
P-0049483-T01-IM6	0	0	0	amp
P-0049519-T01-IM6	0	0	0	amp
P-0049532-T01-IM6	0	0	0	amp
P-0049560-T01-IM6	0	0	0	amp
P-0049686-T01-IM6	0	0	0	amp
P-0049848-T01-IM6	0	0	0	amp
P-0050400-T01-IM6	0	0	0	amp
P-0050454-T01-IM6	0	0	0	amp
P-0001265-T01-IM3	0	0	0	amp
P-0001700-T01-IM3	0	0	0	amp
P-0002110-T01-IM3	0	0	0	amp
P-0002257-T01-IM3	0	0	0	amp
P-0002373-T01-IM3	0	0	0	amp
P-0002573-T01-IM3	0	0	0	amp
P-0003050-T01-IM3	0	0	0	amp
P-0005599-T01-IM5	0	0	0	amp
P-0007150-T01-IM5	0	0	0	amp
P-0007221-T01-IM5	0	0	0	amp
P-0010250-T01-IM5	0	0	0	amp
P-0011557-T01-IM5	0	0	0	amp
P-0012338-T01-IM5	0	0	0	amp
TCGA-72-4233-01	0	0	0	amp
TCGA-72-4234-01	0	0	0	amp
TCGA-72-4238-01	0	0	0	amp
TCGA-72-4236-01	0	0	0	amp
TCGA-72-4235-01	0	0	0	amp
TCGA-72-4241-01	0	0	0	amp
TCGA-72-4240-01	0	0	0	amp
TCGA-72-4231-01	0	0	0	amp
TCGA-09-1669-01	0	0	0	amp
TCGA-25-1635-01	0	0	0	amp
TCGA-04-1519-01	0	0	0	amp
TCGA-25-1632-01	0	0	0	amp
TCGA-09-1667-01	0	0	0	amp
TCGA-09-1665-01	0	0	0	amp
TCGA-24-1557-01	0	0	0	amp
TCGA-36-1577-01	0	0	0	amp
TCGA-36-1580-01	0	0	0	amp
TCGA-57-1585-01	0	0	0	amp
TCGA-24-1567-01	0	0	0	amp
TCGA-24-1558-01	0	0	0	amp
TCGA-04-1525-01	0	0	0	amp
TCGA-04-1536-01	0	0	0	amp
TCGA-25-1628-01	0	0	0	amp
TCGA-24-1544-01	0	0	0	amp
TCGA-09-1666-01	0	0	0	amp
TCGA-36-1574-01	0	0	0	amp
TCGA-36-1581-01	0	0	0	amp
TCGA-57-1582-01	0	0	0	amp
